010100,PUNCION CISTERNAL SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010101,PUNCION CISTERNAL VIA LATERAL,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010102,PUNCION CISTERNAL VIA MEDIAL,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010200,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010201,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010202,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR POR TREPANACION SIN CATETER,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010203,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR A TRAVES DE UN RESERVORIO,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010204,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR VIA TRANSFONTANELAR º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
010900,OTRA PUNCION CRANEAL SOD º,01,Z,A,AP,SD,D,Z,11,Resolución 1896 de 2001
010901,PUNCION SUBDURAL,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011100,BIOPSIA DE CRANEO SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011101,BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA +,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011102,BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011200,BIOPSIA DE MENINGE CEREBRAL SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011201,BIOPSIA DE MENINGE POR CRANEOTOMIA,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011300,BIOPSIA DE CEREBRO SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011301,BIOPSIA CERRADA PERCUTANEA AGUJA DE CEREBRO +,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011302,BIOPSIA ABIERTA CRANEOTOMIA DE CEREBRO,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011303,BIOPSIA DE CEREBRO POR TREPANACION,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
011304,BIOPSIA ESTEREOTAXICA DE CEREBRO,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012100,INCISION Y DRENAJE DE SENO FRONTAL SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012101,CRANEALIZACION DE SENO FRONTAL,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012200,EXTRACCION DE NEUROESTIMULADOR INTRACRANEAL SOD +,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012300,REAPERTURA DE CRANEOTOMIA SOD,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012400,CRANEOTOMIA DESCOMPRESIVAEXPLORATORIA SOD º,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012401,DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL POR CRANEOTOMIA,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012402,DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR POR CRANEOTOMIA,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
012410,EXTRACCION DE CUERPO EXTRAnO INTRACRANEAL POR CRANEOTOMIA,01,Z,A,AP,3,D,Z,11,Resolución 1896 de 2001
