A000,CÓLERA DEBIDO A VIBRIO CHOLERAE O1 BIOTIPO CHOLERAE,A00,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A001,CÓLERA DEBIDO A VIBRIO CHOLERAE O1 BIOTIPO EL TOR,A00,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A009,CÓLERA NO ESPECIFICADO,A00,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A010,FIEBRE TIFOIDEA,A01,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A011,FIEBRE PARATIFOIDEA A,A01,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A012,FIEBRE PARATIFOIDEA B,A01,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A013,FIEBRE PARATIFOIDEA C,A01,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A014,FIEBRE PARATIFOIDEA NO ESPECIFICADA,A01,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A020,ENTERITIS DEBIDA A SALMONELLA,A02,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A021,SEPTICEMIA DEBIDA A SALMONELLA,A02,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,A02,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,A02,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A029,INFECCION DEBIDA A SALMONELLA NO ESPECIFICADA,A02,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A038,OTRAS SHIGELOSIS,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,A03,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A049,INFECCION INTESTINAL BACTERIANA NO ESPECIFICADA,A04,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,A05,I,ENFERMEDADES INFECCIOSAS INTESTINALES,A,5,00,5,99
